Launch,Launch Date (UTC),COSPAR,PL Name,Orig PL Name,SATCAT,LV Type,LV S/N,Site,Suc,Ref
1983-050,1983 May 26 1200,1983-050A,Kosmos-1466,Oktan No. 250,S14089,Soyuz-U,77024 -250,NIIP-5 LC31,S,NK9718-91
1983-051,1983 May 26 1518,1983-051A,Exosat,Exosat,S14095,Delta 3914,D169,V SLC2W,S,LR830526
1983-052,1983 May 31 1140,1983-052A,Kosmos-1467,Zenit-6,S14100,Soyuz-U,77024 -775,NIIP-53 LC43/4,S,AK15/RAEX
1983-053,1983 Jun 2 0238:40,1983-053A,Venera-15,4V-2 No. 860,S14104,Proton-K/D-1,321-01,NIIP-5 LC200/39,S,NK9810-25
1983-054,1983 Jun 7 0232:51,1983-054A,Venera-16,4V-2 No. 861,S14107,Proton-K/D-1,321-02,NIIP-5 LC200/40,S,AK15
1983-055,1983 Jun 7 0750,1983-055A,Kosmos-1468,Resurs-F1 17F41 No. 22,S14110,Soyuz-U,78012 -122,NIIP-53 LC41/1,S,NK95-20-29
1983-056,1983 Jun 9 2323,1983-056A,OPS 6432,PARCAE 6,S14112,Atlas H,6002H,VS SLC3E,S,JG9602
,,1983-056C,GB1,SSU,S14143,,,,,
,,1983-056D,GB2,SSU,S14144,,,,,
,,1983-056G,GB3,SSU,S14180,,,,,
1983-057,1983 Jun 14 1215,1983-057A,Kosmos-1469,Zenit-6,S14123,Soyuz-U,76054 -762,NIIP-53 LC43/4,S,AK15/RAEX
1983-058,1983 Jun 16 1159:03,1983-058A,ECS 1,ECS 1,S14128,Ariane 1,L6,CSG ELA1,S,Desobeau
,,1983-058B,AMSAT-OSCAR-10,AMSAT Phase III-B,S14129,,,,,
1983-059,1983 Jun 18 1133:00,1983-059A,Challenger (STS-7),OV-099,S14132,Space Shuttle,STS-7,KSC LC39A,S,STSJSC
,,1983-059B,Anik C2,Anik C2,S14133,,,,,
,,1983-059C,Palapa B1,Palapa B1,S14134,,,,,
,,1983-059F,SPAS 1,SPAS 1,S14142,,,,,
1983-060,1983 Jun 20 1845,1983-060A,OPS 0721,HEXAGON SV-18,S14137,Titan 34D,34D-5 (04D-3),VS SLC4E,S,LR830620
,,1983-060C,OPS 3899,P801-7?,S14139,,,,,
1983-061,1983 Jun 22 2358,1983-061A,Kosmos-1470,Tselina-D,S14147,Tsiklon-3,45074-703,NIIP-53 LC32/2,S,AK15/RAEX
1983-062,1983 Jun 27 0912:18,1983-062A,Soyuz T-9,Soyuz 7K-ST No. 14L,S14152,Soyuz-U,Sh15000-349,NIIP-5 LC1,S,NK0204-71
1983-063,1983 Jun 27 1537:09,1983-063A,P83-1 Hilat,NNS O-16,S14154,Scout D-1,S205C,VS SLC5,S,LAAFB
1983-064,1983 Jun 28 1500,1983-064A,Kosmos-1471,Feniks No. 958,S14156,Soyuz-U,77024 -958,NIIP-53 LC41/1,S,NK9718-91
1983-065,1983 Jun 28 2308,1983-065A,Galaxy 1,Galaxy I,S14158,Delta 3920/PAM,D170,CC LC17B,S,Desind
1983-066,1983 Jun 30 2356:00,1983-066A,Gorizont,Gorizont No. 17L,S14160,Proton-K/DM,314-02,NIIP-5 LC200/39,S,NK9602-24
1983-067,1983 Jul 1 1217,1983-067A,Prognoz-9,SO-M No. 509,S14163,Molniya 8K78M,Ts15000-214,NIIP-5 LC31,S,AK15/RAEX
1983-068,1983 Jul 5 0750,1983-068A,Kosmos-1472,Zenit-6,S14169,Soyuz-U,78012 -123,NIIP-53 LC41/1,S,AK15/RAEX
1983-069,1983 Jul 6 0031:00,1983-069A,Kosmos-1473,Strela-1M,S14171,Kosmos 11K65M,47183-459,NIIP-53 LC132/2,S,AK15/RAEX
,,1983-069B,Kosmos-1474,Strela-1M,S14172,,,,,
,,1983-069C,Kosmos-1475,Strela-1M,S14173,,,,,
,,1983-069D,Kosmos-1476,Strela-1M,S14174,,,,,
,,1983-069E,Kosmos-1477,Strela-1M,S14175,,,,,
,,1983-069F,Kosmos-1478,Strela-1M,S14176,,,,,
,,1983-069G,Kosmos-1479,Strela-1M,S14177,,,,,
,,1983-069H,Kosmos-1480,Strela-1M,S14178,,,,,
1983-070,1983 Jul 8 1921,1983-070A,Kosmos-1481,Oko No. 6017,S14182,Molniya 8K78M,76054 -647,NIIP-53 LC43/3,S,NK9715-48
1983-071,1983 Jul 13 0940,1983-071A,Kosmos-1482,Zenit-6,S14185,Soyuz-U,78012 -781,NIIP-5 LC1,S,AK15/RAEX
1983-072,1983 Jul 14 1021,1983-072A,GPS 8,Navstar GPS SVN 8,S14189,Atlas E/SGS-2,75E,VS SLC3W,S,JG9602
1983-073,1983 Jul 19 1514,1983-073A,Molniya-1,Molniya-1 11F658 No. 66,S14199,Molniya 8K78M,78012 -660,NIIP-5 LC1,S,AK15/RAEX
1983-074,1983 Jul 20 0800,1983-074A,Kosmos-1483,Resurs-F1 17F41 No. 23,S14204,Soyuz-U,78012 -083,NIIP-53 LC43/4,S,NK95-20-29
1983-075,1983 Jul 24 0550:37,1983-075A,Kosmos-1484,Resurs-OE No. 3-2,S14207,Vostok 8A92M,77049 -376,NIIP-5 LC31,S,AK15
1983-076,1983 Jul 26 1200,1983-076A,Kosmos-1485,Zenit-6,S14210,Soyuz-U,76054 -769? (2,NIIP-53 LC16/2,S,AK15/RAEX
1983-077,1983 Jul 28 2249,1983-077A,Telstar 301,Telstar 301,S14234,Delta 3920/PAM,D171,CC LC17A,S,JCM
1983-078,1983 Jul 31 1541,1983-078A,OPS 7304,JUMPSEAT 7 (or QUASAR 5),S14237,Titan 34B,34B-9 (3B-65),VS SLC4W,S,LR830801
1983-079,1983 Aug 3 1240,1983-079A,Kosmos-1486,Strela-2M,S14240,Kosmos 11K65M,53783-463,NIIP-53 LC132/2,S,AK15/RAEX
1983-080,1983 Aug 5 0920,1983-080A,Kosmos-1487,Resurs-F1 17F41 No. 25,S14245,Soyuz-U,78012 -125,NIIP-53 LC43/4,S,NK95-20-29
1983-081,1983 Aug 5 2029,1983-081A,Sakura 2B,CS-2B,S14248,N-2,N-11(F),TNSC N,S,WWW-NASDA
1983-082,1983 Aug 9 1120,1983-082A,Kosmos-1488,Zenit-6,S14251,Soyuz-U,77024 -774,NIIP-53 LC43/4,S,AK15/RAEX
1983-083,1983 Aug 10 1300,1983-083A,Kosmos-1489,Oktan No. 252,S14256,Soyuz-U,77024 -252,NIIP-5 LC1,S,NK9718-91
1983-084,1983 Aug 10 1824:26,1983-084A,Kosmos-1490,Uragan No. 12L,S14258,Proton-K/DM-2,317-01,NIIP-5 LC200/39,S,NK9810-25
,,1983-084B,Kosmos-1491,Uragan No. 13L,S14259,,,,,
,,1983-084C,Kosmos-1492,Uragan GVM,S14260,,,,,
1983-085,1983 Aug 17 1208:23,1983-085A,Progress-17,Progress 7K-TG No. 119,S14283,Soyuz-U,Ts15000-302,NIIP-5 LC1,S,NK9807-46
1983-086,1983 Aug 19 0600,1983-086A,Fanhui Shi Weixing (05),Jianbing-1 No. 6,S14288,Chang Zheng 2C,Y2 (8),JQ LA2B,S,MTR-4
1983-087,1983 Aug 23 1105,1983-087A,Kosmos-1493,Zenit-6,S14299,Soyuz-U,77024 -776,NIIP-53 LC43/4,S,AK15/RAEX
1983-088,1983 Aug 25 2002:00,1983-088A,Raduga,Gran' No. 24L,S14307,Proton-K/DM,316-02,NIIP-5 LC200/40,S,NK9810-25
1983-089,1983 Aug 30 0632:00,1983-089A,Challenger (STS-8),OV-099,S14312,Space Shuttle,STS-8,KSC LC39A,S,STSJSC
,,1983-089B,Insat 1B,Insat 1B,S14318,,,,,
1983-090,1983 Aug 30 2249:00,1983-090A,Molniya-3,Molniya-3 No. 32,S14313,Molniya 8K78M,76054 -650,NIIP-53 LC41/1,S,NK9815-26
1983-091,1983 Aug 31 0630,1983-091A,Kosmos-1494,Romb,S14316,Kosmos 11K65M,47139-547,GTsP-4 LC107/1,S,AK15/RAEX
1983-092,1983 Sep 3 1015,1983-092A,Kosmos-1495,Fram,S14320,Soyuz-U,78012 -084,NIIP-53 LC43/4,S,NK96-26-40
1983-093,1983 Sep 7 1324,1983-093A,Kosmos-1496,Oktan No. 251,S14326,Soyuz-U,78012 -782,NIIP-53 LC16/2,S,NK9718-91
1983-094,1983 Sep 8 2252,1983-094A,Satcom 2R,RCA-G,S14328,Delta 3924,D172,CC LC17B,S,MOR M-492-206-83-08
1983-095,1983 Sep 9 1100,1983-095A,Kosmos-1497,Zenit-6,S14330,Soyuz-U,78012 -783,NIIP-53 LC43/4,S,AK15/RAEX
1983-096,1983 Sep 14 1025,1983-096A,Kosmos-1498,Resurs-F1 17F41 No. 24,S14334,Soyuz-U,78039 -952,NIIP-53 LC41/1,S,NK95-20-29
1983-097,1983 Sep 17 1115,1983-097A,Kosmos-1499,Zenit-6,S14339,Soyuz-U,77024 -251,NIIP-53 LC41/1,S,AK15/RAEX
1983-098,1983 Sep 22 2216,1983-098A,Galaxy 2,Galaxy II,S14365,Delta 3920/PAM,D173,CC LC17A,S,Desind
1983-099,1983 Sep 28 0759,1983-099A,Kosmos-1500,Okean-OE NKhM No. 1,S14372,Tsiklon-3,51042-302,NIIP-53 LC32/1,S,NK9422-49
1983-100,1983 Sep 29 1737:00,1983-100A,Ekran,Ekran No. 25L,S14377,Proton-K/DM,318-01,NIIP-5 LC200/40,S,NK9810-25
1983-101,1983 Sep 30 1100,1983-101A,Kosmos-1501,Romb,S14380,Kosmos 11K65M,65093-482,NIIP-53 LC132/1,S,AK15/RAEX
1983-102,1983 Oct 5 1200,1983-102A,Kosmos-1502,Taifun-1B,S14395,Kosmos 11K65M,65039-540,NIIP-53 LC132/1,S,AK15/RAEX
1983-103,1983 Oct 12 0020,1983-103A,Kosmos-1503,Strela-2M,S14401,Kosmos 11K65M,65039-543,NIIP-53 LC132/1,S,AK15/RAEX
1983-104,1983 Oct 14 1000,1983-104A,Kosmos-1504,Yantar'-4K2 No. 3?,S14403,Soyuz-U,77024 -803,NIIP-5 LC31,S,AK15/RAEX
1983-105,1983 Oct 19 0045:36,1983-105A,INTELSAT 507,INTELSAT V F7,S14421,Ariane 1,L7,CSG ELA1,S,Desobeau
1983-106,1983 Oct 20 0959:05,1983-106A,Progress-18,Progress 7K-TG No. 118,S14422,Soyuz-U,Ts15000-287,NIIP-5 LC31,S,NK9807-46
1983-107,1983 Oct 21 1210,1983-107A,Kosmos-1505,Zenit-6,S14425,Soyuz-U,78012 -784,NIIP-53 LC16/2,S,AK15/RAEX
1983-108,1983 Oct 26 1720,1983-108A,Kosmos-1506,Tsikada,S14450,Kosmos 11K65M,47122-331,NIIP-53 LC132/1,S,AK15/RAEX
1983-109,1983 Oct 28 0900:00,1983-109A,Meteor-2,Meteor-2 No. 10,S14452,Vostok 8A92M,77025 -325,NIIP-53 LC16/2,S,PL-WWW
1983-110,1983 Oct 29 0830,1983-110A,Kosmos-1507,US-PM1,S14455,Tsiklon-2,45083-627,NIIP-5 LC90,S,AK15/RAEX
1983-111,1983 Nov 11 1230:00,1983-111A,Kosmos-1508,Vektor,S14483,Kosmos 11K65M,65093-470,NIIP-53 LC132/2,S,AK15/RAEX
1983-112,1983 Nov 17 1215,1983-112A,Kosmos-1509,Zenit-6,S14490,Soyuz-U,78012 -785,NIIP-53 LC16/2,S,AK15/RAEX
1983-113,1983 Nov 18 0632,1983-113A,DMSP F-7,DMSP Block 5D-2 S-7,S14506,Atlas E,58E,VS SLC3W,S,JG9602
1983-114,1983 Nov 23 1645,1983-114A,Molniya-1,Molniya-1 No. 48,S14516,Molniya 8K78M,77023 -619,NIIP-53 LC41/1,S,AK15/RAEX
1983-115,1983 Nov 24 1233,1983-115A,Kosmos-1510,Musson No. 14,S14521,Tsiklon-3,51074-701,NIIP-53 LC32/2,S,PL39
1983-116,1983 Nov 28 1600:00,1983-116A,Columbia (STS-9),OV-102,S14523,Space Shuttle,STS-9,KSC LC39A,S,STSJSC
,,1983-116,Spacelab 1,Spacelab Long Module 1,A03742,,,,,
1983-117,1983 Nov 30 1345,1983-117A,Kosmos-1511,Oktan No. 249,S14530,Soyuz-U,77024 -249,NIIP-53 LC41/1,S,NK9718-91
1983-118,1983 Nov 30 1351:00,1983-118A,Gorizont,Gorizont No. 18L,S14532,Proton-K/DM,308-02,NIIP-5 LC200/39,S,NK9602-24
1983-119,1983 Dec 7 1210,1983-119A,Kosmos-1512,Zenit-6,S14542,Soyuz-U,78012 -786,NIIP-53 LC41/1,S,AK15/RAEX
1983-120,1983 Dec 8 0613,1983-120A,Kosmos-1513,Parus,S14546,Kosmos 11K65M,65019-528,NIIP-53 LC132/2,S,AK15/RAEX
1983-121,1983 Dec 14 0700,1983-121A,Kosmos-1514,Bion No. 6,S14549,Soyuz-U,Yu15000-371,NIIP-53 LC41/1,S,NK96-26-34
1983-122,1983 Dec 15 1225,1983-122A,Kosmos-1515,Tselina-D,S14551,Tsiklon-3,67014-708,NIIP-53 LC32/2,S,AK15/RAEX
1983-123,1983 Dec 21 0607:59,1983-123A,Molniya-3,Molniya-3 No. 35,S14570,Molniya 8K78M,76054 -648,NIIP-53 LC41/1,S,NK9815-26
1983-124,1983 Dec 27 0930,1983-124A,Kosmos-1516,Siluet No. 3,S14583,Soyuz-U,Sh15000-345,NIIP-5 LC31,S,AK15/RAEX
1983-125,1983 Dec 27 1000,1983-125A,Kosmos-1517,BOR-4 No. 405,S14585,K65M-RB,-,GTsP-4 LC107,S,AK15/RAEX
1983-126,1983 Dec 28 0348:05,1983-126A,Kosmos-1518,Oko No. 6022,S14587,Molniya 8K78M,78039 -642,NIIP-53 LC16/2,S,NK9715-48
1983-127,1983 Dec 29 0052:24,1983-127A,Kosmos-1519,Uragan No. 14L,S14590,Proton-K/DM-2,320-02,NIIP-5 LC200/40,S,NK9810-25
,,1983-127B,Kosmos-1520,Uragan No. 15L,S14591,,,,,
,,1983-127C,Kosmos-1521,Uragan GVM,S14592,,,,,
1984-001,1984 Jan 5 2009,1984-001A,Kosmos-1522,Strela-1M,S14611,Kosmos 11K65M,47119-529,NIIP-53 LC132/2,S,AK15/RAEX
,,1984-001B,Kosmos-1523,Strela-1M,S14612,,,,,
,,1984-001C,Kosmos-1524,Strela-1M,S14613,,,,,
,,1984-001D,Kosmos-1525,Strela-1M,S14614,,,,,
,,1984-001E,Kosmos-1526,Strela-1M,S14615,,,,,
,,1984-001F,Kosmos-1527,Strela-1M,S14616,,,,,
,,1984-001G,Kosmos-1528,Strela-1M,S14617,,,,,
,,1984-001H,Kosmos-1529,Strela-1M,S14618,,,,,
1984-002,1984 Jan 11 1220,1984-002A,Kosmos-1530,Zenit-6,S14622,Soyuz-U,78012 -787,NIIP-53 LC43/4,S,AK15/RAEX
1984-003,1984 Jan 11 1808,1984-003A,Kosmos-1531,Parus,S14624,Kosmos 11K65M,65039-546,NIIP-53 LC132/2,S,AK15/RAEX
1984-004,1984 Jan 13 1440,1984-004A,Kosmos-1532,Kobal't No. 806,S14634,Soyuz-U,78012 -806,NIIP-53 LC41/1,S,AK15/RAEX
1984-005,1984 Jan 23 0758,1984-005A,Yuri 2A,BS 2A,S14659,N-2,N-12(F),TNSC N,S,WWW-NASDA
1984-006,1984 Jan 26 0850,1984-006A,Kosmos-1533,Zenit-6,S14666,Soyuz-U2,76032? -791 (-0,NIIP-5 LC31,S,AK15/RAEX
1984-007,1984 Jan 26 1200,1984-007A,Kosmos-1534,Vektor,S14668,Kosmos 11K65M,53793-469,NIIP-53 LC132/2,S,AK15/RAEX
1984-008,1984 Jan 29 1225,1984-008A,Shiyan Weixing,STW-1,S14670,Chang Zheng 3,Y1 (9),XSC LC3,S,JCM
1984-009,1984 Jan 31 0308:01,1984-009A,OPS 0441,VORTEX 11,S14675,Titan 34D/Transtage,34D-10 (05D-1),CC LC40,S,patrick.af.mil
1984-010,1984 Feb 2 1738,1984-010A,Kosmos-1535,Parus,S14679,Kosmos 11K65M,47139-532,NIIP-53 LC132/1,S,AK15/RAEX
1984-011,1984 Feb 3 1300:00,1984-011A,Challenger (STS 41-B),OV-099,S14681,Space Shuttle,STS-11/41-B,KSC LC39A,S,STSJSC
,,1984-011B,Westar 6,Westar 6,S14688,,,,,
,,1984-011C,IRT,IRT,S14689,,,,,
,,1984-011D,Palapa B2,Palapa B2,S14692,,,,,
1984-012,1984 Feb 5 1844,1984-012A,OPS 8737,PARCAE 7,S14690,Atlas H,6003H,VS SLC3E,S,LR840206
,,1984-012C,JD1,SSU,S14728,,,,,
,,1984-012D,JD2,SSU,S14729,,,,,
,,1984-012F,JD3,SSU,S14795,,,,,
1984-013,1984 Feb 8 0923,1984-013A,Kosmos-1536,Tselina-D,S14699,Tsiklon-3,45014-706,NIIP-53 LC32/2,S,AK15/RAEX
1984-014,1984 Feb 8 1207:26,1984-014A,Soyuz T-10,Soyuz 7K-ST No. 15L,S14701,Soyuz-U,Yu15000-357,NIIP-5 LC31,S,NK0204-71
1984-015,1984 Feb 14 0800,1984-015A,Ohzora,EXOS-C,S14722,Mu-3S,M-3S-4,KASC M1,S,SRJ
1984-016,1984 Feb 15 0846:00,1984-016A,Raduga,Gran' No. 25L,S14725,Proton-K/DM,318-02,NIIP-5 LC200/39,S,NK9810-25
1984-017,1984 Feb 16 0815,1984-017A,Kosmos-1537,Resurs-F1 17F41 No. 27,S14737,Soyuz-U,76032 -126,NIIP-53 LC41/1,S,NK95-20-29
1984-018,1984 Feb 21 0646:05,1984-018A,Progress-19,Progress 7K-TG No. 120,S14757,Soyuz-U,Yu15000-367,NIIP-5 LC31,S,NK9807-46
1984-019,1984 Feb 21 1536,1984-019A,Kosmos-1538,Strela-2M,S14759,Kosmos 11K65M,65039-537,NIIP-53 LC132/1,S,AK15/RAEX
1984-020,1984 Feb 28 1359:59,1984-020A,Kosmos-1539,Kobal't No. 805,S14763,Soyuz-U,78012 -789,NIIP-53 LC16/2,S,AK15/RAEX
1984-021,1984 Mar 1 1759,1984-021A,Landsat 5,Landsat D',S14780,Delta 3920,D174,V SLC2W,S,LR840301
,,1984-021B,UoSAT-OSCAR-11,UoSAT 2,S14781,,,,,
1984-022,1984 Mar 2 0354:00,1984-022A,Kosmos-1540,Geizer No. 12L,S14783,Proton-K/DM,316-01,NIIP-5 LC200/40,S,NK9422-47
1984-023,1984 Mar 5 0050:03,1984-023A,INTELSAT 508,INTELSAT V F8,S14786,Ariane 1,L8,CSG ELA1,S,Desobeau
1984-024,1984 Mar 6 1710:18,1984-024A,Kosmos-1541,Oko No. 6020,S14790,Molniya 8K78M,76054 -649,NIIP-53 LC16/2,S,NK9715-48
1984-025,1984 Mar 7 0800,1984-025A,Kosmos-1542,Zenit-6,S14793,Soyuz-U2,76032 -792 (-0,NIIP-5 LC31,S,AK15/RAEX
1984-026,1984 Mar 10 1700,1984-026A,Kosmos-1543,Efir No. 1,S14797,Soyuz-U,Ts15000-309,NIIP-53 LC41/1,S,AK15/RAEX
1984-027,1984 Mar 15 1705,1984-027A,Kosmos-1544,Tselina-D,S14819,Tsiklon-3,67014-705,NIIP-53 LC32/2,S,AK15/RAEX
1984-028,1984 Mar 16 1400:00,1984-028A,Ekran,Ekran No. 26L,S14821,Proton-K/DM,322-01,NIIP-5 LC200/39,S,NK9810-25
1984-029,1984 Mar 16 2329:59,1984-029A,Molniya-1,Molniya-1 No. 51,S14825,Molniya 8K78M,78039 -637,NIIP-53 LC41/1,S,AK15/RAEX
1984-030,1984 Mar 21 1105,1984-030A,Kosmos-1545,Zenit-6,S14849,Soyuz-U-PVB,77024 -779,NIIP-53 LC43/4,S,AK15/RAEX
1984-031,1984 Mar 29 0552:56,1984-031A,Kosmos-1546,Oko-S No. 7421,S14867,Proton-K/DM,319-02,NIIP-5 LC200/40,S,NK9810-25
1984-032,1984 Apr 3 1308:42,1984-032A,Soyuz T-11,Soyuz 7K-ST No. 17L,S14872,Soyuz-U,Sc15000-395,NIIP-5 LC31,S,NK0204-71
1984-033,1984 Apr 4 0140:04,1984-033A,Kosmos-1547,Oko No. 6019,S14884,Molniya 8K78M,77049 -643,NIIP-53 LC16/2,S,NK9715-48
1984-034,1984 Apr 6 1358:00,1984-034A,Challenger (STS 41-C),OV-099,S14897,Space Shuttle,STS-13/41-C,KSC LC39A,S,STSJSC
,,1984-034B,LDEF,LDEF,S14898,,,,,
1984-035,1984 Apr 8 1120,1984-035A,Shiyan Tongbu Tongxin Wx.,STW,S14899,Chang Zheng 3,Y2 (10),XSC LC3,S,JCM
1984-036,1984 Apr 10 1400,1984-036A,Kosmos-1548,Kobal't No. 807,S14902,Soyuz-U,76032 -808,NIIP-53 LC41/1,S,AK15/RAEX
1984-037,1984 Apr 14 1652:02,1984-037A,DSP F11,DSP 12,S14930,Titan 34D/Transtage,34D-11 (05D-2),CC LC40,S,patrick.af.mil
1984-038,1984 Apr 15 0812:53,1984-038A,Progress-20,Progress 7K-TG No. 121,S14932,Soyuz-U2,Yu15000-005,NIIP-5 LC31,S,NK9807-46
1984-039,1984 Apr 17 1845,1984-039A,OPS 8424,GAMBIT-3 Mission 4354,S14935,Titan 24B,24B-28 (3B-67),VS SLC4W,S,LR840418
1984-040,1984 Apr 19 1140,1984-040A,Kosmos-1549,Zenit-6,S14938,Soyuz-U,76032 -788,NIIP-53 LC16/2,S,AK15/RAEX
1984-041,1984 Apr 22 0421:00,1984-041A,Gorizont,Gorizont No. 19L,S14940,Proton-K/DM,312-02,NIIP-5 LC200/39,S,NK9602-24
1984-042,1984 May 7 2247:15,1984-042A,Progress-21,Progress 7K-TG No. 116,S14961,Soyuz-U,Sc15000-399,NIIP-5 LC31,S,NK9807-46
1984-043,1984 May 11 0619,1984-043A,Kosmos-1550,Parus,S14965,Kosmos 11K65M,53739-533,NIIP-53 LC132/2,S,AK15/RAEX
1984-044,1984 May 11 1300,1984-044A,Kosmos-1551,Zenit-6,S14967,Soyuz-U,76032 -811,NIIP-53 LC41/1,S,AK15/RAEX
1984-045,1984 May 14 1400,1984-045A,Kosmos-1552,Yantar'-4KS1,S14971,Soyuz-U,Yu15000-364,NIIP-5 LC31,S,AK15/RAEX
1984-046,1984 May 17 1443:26,1984-046A,Kosmos-1553,Tsikada,S14973,Kosmos 11K65M,47139-538,NIIP-53 LC132/1,S,AK15/RAEX
1984-047,1984 May 19 1510:42,1984-047A,Kosmos-1554,Uragan No. 16L,S14977,Proton-K/DM-2,323-02,NIIP-5 LC200/40,S,NK9810-25
,,1984-047B,Kosmos-1555,Uragan No. 17L,S14978,,,,,
,,1984-047C,Kosmos-1556,Uragan GVM,S14979,,,,,
1984-048,1984 May 22 0830,1984-048A,Kosmos-1557,Fram,S14982,Soyuz-U,77046 -050,NIIP-53 LC43/4,S,NK96-26-40
1984-049,1984 May 23 0133:29,1984-049A,Spacenet F1,Spacenet F1,S14985,Ariane 1,V9 L9,CSG ELA1,S,CNES32
1984-050,1984 May 25 1130,1984-050A,Kosmos-1558,Kobal't No. 808,S14993,Soyuz-U,76032 -810,NIIP-53 LC16/2,S,AK15/RAEX
1984-051,1984 May 28 1412:52,1984-051A,Progress-22,Progress 7K-TG No. 122,S14996,Soyuz-U,Sc15000-405,NIIP-5 LC31,S,NK9807-46
1984-052,1984 May 28 2152:00,1984-052A,Kosmos-1559,Strela-1M,S14998,Kosmos 11K65M,65039-531,NIIP-53 LC132/2,S,AK15/RAEX
,,1984-052B,Kosmos-1560,Strela-1M,S14999,,,,,
,,1984-052C,Kosmos-1561,Strela-1M,S15000,,,,,
,,1984-052D,Kosmos-1562,Strela-1M,S15001,,,,,
,,1984-052E,Kosmos-1563,Strela-1M,S15002,,,,,
,,1984-052F,Kosmos-1564,Strela-1M,S15003,,,,,
,,1984-052G,Kosmos-1565,Strela-1M,S15004,,,,,
,,1984-052H,Kosmos-1566,Strela-1M,S15005,,,,,
1984-053,1984 May 30 1846,1984-053A,Kosmos-1567,US-PM1,S15009,Tsiklon-2,45067-402,NIIP-5 LC90,S,AK15/RAEX
1984-054,1984 Jun 1 1350,1984-054A,Kosmos-1568,Zenit-6,S15011,Soyuz-U,77046 -148,NIIP-53 LC43/4,S,AK15/RAEX
1984-055,1984 Jun 6 1533:32,1984-055A,Kosmos-1569,Oko No. 6021,S15027,Molniya 8K78M,77024 -657,NIIP-53 LC16/2,S,NK9715-48
1984-056,1984 Jun 8 1128,1984-056A,Kosmos-1570,Strela-2M,S15031,Kosmos 11K65M,53739-542,NIIP-53 LC132/1,S,AK15/RAEX
1984-057,1984 Jun 9 2303,1984-057A,INTELSAT 509,INTELSAT V F9,S15034,Atlas G Centaur,AC-62,CC LC36B,S,Desind
1984-058,1984 Jun 11 0840,1984-058A,Kosmos-1571,Oblik,S15036,Soyuz-U,76032 -795,NIIP-5 LC1,S,AK15/RAEX
1984-059,1984 Jun 13 1137,1984-059A,GPS 9,Navstar GPS SVN 9,S15039,Atlas E/SGS-2,42E,VS SLC3W,S,LR840613
1984-060,1984 Jun 15 0820,1984-060A,Kosmos-1572,Resurs-F1 17F41 No. 26,S15046,Soyuz-U,76032 -793,NIIP-53 LC41/1,S,NK95-20-29
1984-061,1984 Jun 19 1055,1984-061A,Kosmos-1573,Zenit-6,S15051,Soyuz-U,76032 -796,NIIP-53 LC16/2,S,AK15/RAEX
1984-062,1984 Jun 21 1940:03,1984-062A,Kosmos-1574,Nadezhda 11F643N No. 531,S15055,Kosmos 11K65M,53719-521,NIIP-53 LC132/2,S,PL38
1984-063,1984 Jun 22 0020:00,1984-063A,Raduga,Gran' No. 27L,S15057,Proton-K/DM,319-01,NIIP-5 LC200/39,S,NK9810-25
1984-064,1984 Jun 22 0740,1984-064A,Kosmos-1575,Resurs-F1 17F41 No. 48,S15060,Soyuz-U,76032 -790,NIIP-53 LC41/1,S,NK95-20-29
1984-065,1984 Jun 25 1847,1984-065A,USA 2,HEXAGON SV-19,S15063,Titan 34D,34D-4 (04D-1),VS SLC4E,S,Insprucker
,,1984-065C,USA 3,P-11 No. 4434,S15071,,,,,
1984-066,1984 Jun 26 1535,1984-066A,Kosmos-1576,Kobal't No. 810,S15070,Soyuz-U,76032 -807,NIIP-53 LC41/1,S,AK15/RAEX
1984-067,1984 Jun 27 0459,1984-067A,Kosmos-1577,Parus,S15077,Kosmos 11K65M,65039-549,NIIP-53 LC132/2,S,AK15/RAEX
1984-068,1984 Jun 28 1310:00,1984-068A,Kosmos-1578,Taifun-1B,S15080,Kosmos 11K65M,47134-133,GTsP-4 LC107/1,S,AK15/RAEX
1984-069,1984 Jun 29 0021,1984-069A,Kosmos-1579,US-A reactor,S15085,Tsiklon-2,67067-401,NIIP-5 LC90,S,AK15/RAEX
1984-070,1984 Jun 29 1500,1984-070A,Kosmos-1580,Oblik No. 793,S15090,Soyuz-U,77046 -306,NIIP-53 LC43/4,S,AK15/RAEX
1984-071,1984 Jul 3 2130:42,1984-071A,Kosmos-1581,Oko No. 6023,S15095,Molniya 8K78M,78012 -659,NIIP-53 LC43/4,S,NK9715-48
1984-072,1984 Jul 5 0335:00,1984-072A,Meteor-2,Meteor-2 No. 16,S15099,Tsiklon-3,67074-702,NIIP-53 LC32/2,S,AK15/RAEX
1984-073,1984 Jul 17 1740:54,1984-073A,Soyuz T-12,Soyuz 7K-ST No. 18L,S15119,Soyuz-U2,Yu15000-006,NIIP-5 LC31,S,NK0204-71
1984-074,1984 Jul 19 0830,1984-074A,Kosmos-1582,Resurs-F1 17F41 No. 49,S15121,Soyuz-U,77046 -149,NIIP-53 LC43/4,S,NK95-20-29
1984-075,1984 Jul 24 1240,1984-075A,Kosmos-1583,Oblik No. 306,S15123,Soyuz-U,77046 -150,NIIP-53 LC16/2,S,AK15/RAEX
