City,Cloudiness,Country,Country Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Cap-aux-Meules,75,CA,1552903200,62,47.38,-61.86,21.2,17.22
Vila Franca do Campo,20,PT,1552903200,77,37.72,-25.43,60.8,9.17
Butaritari,92,KI,1552905089,100,3.07,172.79,78.92,18.05
Goderich,0,CA,1552905084,82,43.74,-81.71,30.0,1.01
Tres Passos,100,BR,1552905044,99,-27.46,-53.93,68.66,4.0
Arona,20,IT,1552904943,22,45.76,8.56,59.0,14.99
Vung Tau,0,VN,1552904971,86,10.35,107.08,84.45,18.84
Tual,24,ID,1552905090,97,-5.67,132.75,84.59,9.1
Beyneu,12,KZ,1552905091,64,45.32,55.19,53.63,12.95
Tiksi,20,RU,1552905091,28,71.64,128.87,-19.91,3.22
Coihaique,68,CL,1552903200,75,-45.58,-72.07,41.0,10.29
Sambava,0,MG,1552905091,100,-14.27,50.17,84.05,12.57
Haapiti,40,PF,1552904589,83,-17.57,-149.87,80.6,4.7
Russell,0,AR,1552903200,82,-33.01,-68.8,57.2,2.24
Capinopolis,24,BR,1552905092,85,-18.68,-49.57,79.28,4.52
Waitati,92,NZ,1552904616,91,-45.75,170.57,60.01,1.05
Port Alfred,48,ZA,1552904983,87,-33.59,26.89,78.01,1.01
Iracoubo,76,GF,1552905093,71,5.48,-53.21,79.46,5.91
Choix,0,MX,1552905093,81,26.71,-108.33,50.03,2.28
Fortuna,75,ES,1552905066,76,38.18,-1.13,60.8,9.17
New Norfolk,20,AU,1552905093,87,-42.78,147.06,61.0,6.93
Marawi,100,PH,1552905094,90,8.0,124.29,79.0,1.99
Hobyo,0,SO,1552905094,66,5.35,48.53,85.31,14.07
Viedma,0,AR,1552905095,53,-40.81,-62.99,63.35,15.19
Chalons-en-Champagne,75,FR,1552904864,87,48.95,4.37,46.99,10.29
Cabo San Lucas,0,MX,1552904195,83,22.89,-109.91,64.99,8.01
Maningrida,56,AU,1552905095,92,-12.05,134.23,79.55,4.23
Puerto Escondido,56,MX,1552905095,100,15.86,-97.07,81.62,5.91
Wilmington Island,1,US,1552905018,86,32.0,-80.97,48.0,11.61
Bhadrachalam,0,IN,1552905096,31,17.67,80.89,91.7,10.33
Harper,1,US,1552905076,80,30.3,-99.24,48.0,2.84
Vaini,20,IN,1552903200,14,15.34,74.49,96.8,4.7
Darhan,80,MN,1552905097,54,49.49,105.92,26.27,16.98
Haines Junction,88,CA,1552905097,95,60.75,-137.51,32.39,3.06
Margate,20,AU,1552905093,87,-43.03,147.26,61.0,6.93
Ponnampet,0,IN,1552905097,24,12.15,75.93,91.97,3.74
Hambantota,56,LK,1552905098,99,6.12,81.12,82.7,11.61
Lompoc,1,US,1552905063,70,34.64,-120.46,57.0,3.36
Broome,20,GB,1552905074,61,52.47,1.45,48.99,9.17
Ribeira Grande,20,PT,1552903200,82,38.52,-28.7,62.6,4.7
Pisco,0,PE,1552903200,82,-13.71,-76.2,68.0,9.17
Padang,12,ID,1552905099,100,-0.92,100.36,85.76,6.8
Limbang,75,BN,1552901400,79,4.75,115.01,84.2,8.05
Taiyuan,0,CN,1552903200,20,37.86,112.56,64.4,4.47
San Jose,0,PH,1552904978,59,15.79,120.99,81.53,4.07
Sitka,12,US,1552905005,82,37.17,-99.65,35.01,4.0
Sindor,12,RU,1552905101,82,62.87,51.9,34.82,7.65
Muros,40,ES,1552905071,75,42.77,-9.06,53.01,8.05
Ancud,76,CL,1552903200,100,-41.87,-73.83,39.2,3.36
A Coruna,20,ES,1552905004,76,43.37,-8.4,55.0,2.24
Cap Malheureux,75,MU,1552904944,70,-19.98,57.61,87.8,11.41
Lufilufi,32,WS,1552904589,88,-13.87,-171.6,80.01,8.01
Sorland,0,NO,1552904400,46,67.67,12.69,28.4,2.24
Puerto Rondon,8,CO,1552905163,89,6.28,-71.1,76.85,3.85
Craig,1,US,1552904847,85,40.52,-107.55,19.4,4.7
Natal,90,BR,1552903200,88,-5.81,-35.21,78.8,2.24
Yacuiba,90,AR,1552903200,100,-22.01,-63.68,68.0,2.62
Prince Rupert,1,CA,1552903200,87,54.32,-130.32,42.8,4.7
Alvaraes,64,BR,1552905165,92,-3.22,-64.8,78.29,4.23
Suleja,0,NG,1552904924,51,9.18,7.18,88.68,3.4
Longyearbyen,90,NO,1552902600,68,78.22,15.63,30.2,25.28
Iqaluit,20,CA,1552904568,67,63.75,-68.52,-25.01,10.29
Payson,1,US,1552905129,64,40.04,-111.73,37.99,3.36
Lebu,0,ET,1552905166,27,8.96,38.73,77.48,8.59
Omboue,0,GA,1552905166,99,-1.57,9.26,84.77,8.66
Ponta do Sol,24,BR,1552905166,87,-20.63,-46.0,76.13,4.41
Baoqing,20,CN,1552905166,39,46.32,132.2,45.44,8.59
Hasaki,75,JP,1552904377,66,35.73,140.83,48.99,5.82
Quatre Cocos,75,MU,1552904944,70,-20.21,57.76,87.8,11.41
Faanui,80,PF,1552905167,100,-16.48,-151.75,83.6,2.06
Viesca,80,MX,1552905065,77,25.34,-102.81,48.99,2.84
Kaitangata,64,NZ,1552905168,93,-46.28,169.85,54.89,2.39
Ambagarh Chauki,0,IN,1552905168,32,20.78,80.75,91.07,8.93
Kavieng,48,PG,1552905168,96,-2.57,150.8,85.04,8.66
Rzhev,0,RU,1552905169,83,56.26,34.33,42.02,23.42
Whitehorse,90,CA,1552905168,75,60.72,-135.06,42.01,17.22
Dwarka,20,IN,1552903208,30,28.58,77.04,82.4,10.29
Nova Vicosa,0,BR,1552905169,76,-17.89,-39.37,85.76,11.34
Rio Branco,40,BR,1552903200,94,-9.98,-67.82,75.2,2.89
Tadine,20,NC,1552905170,95,-21.55,167.88,80.09,16.08
Poso,48,ID,1552905170,100,-1.4,120.75,81.08,2.33
Pevek,68,RU,1552905170,80,69.7,170.27,-4.88,21.18
Klembivka,8,UA,1552905113,55,48.38,28.4,64.0,8.01
Sabinas,76,MX,1552905171,55,27.85,-101.13,42.29,4.23
Jimo,0,CN,1552904228,66,36.39,120.46,62.01,13.42
Banda Aceh,76,ID,1552905171,78,5.56,95.32,81.53,2.06
Tianpeng,0,CN,1552905171,75,28.88,112.34,59.84,7.43
Hami,56,CN,1552905172,42,42.84,93.51,57.68,3.78
Labuhan,0,ID,1552905172,88,-2.54,115.51,76.04,0.72
Kruisfontein,88,ZA,1552905172,93,-34.0,24.73,71.27,6.76
Grand Gaube,75,MU,1552904944,70,-20.01,57.66,87.8,11.41
Aksu,20,KZ,1552901400,68,52.04,76.93,28.4,8.95
Souillac,75,FR,1552905086,58,45.6,-0.6,53.6,8.05
Gat,0,SN,1552903200,57,14.69,-16.54,75.2,14.99
Half Moon Bay,1,US,1552905169,76,37.46,-122.43,57.2,1.83
Naica,0,MX,1552905174,100,27.86,-105.49,36.98,2.84
Talcahuano,0,CL,1552903200,81,-36.72,-73.12,50.0,3.36
Saint Anthony,1,US,1552905043,79,43.97,-111.68,26.6,4.7
Kondinskoye,80,RU,1552905175,78,59.65,67.41,30.95,6.64
Westerland,75,NL,1552905171,70,52.89,4.93,48.99,18.34
Boyolangu,76,ID,1552905175,92,-8.09,111.9,70.64,2.89
Kologriv,88,RU,1552905175,83,58.83,44.31,37.07,8.59
Saldanha,0,PT,1552905176,44,41.42,-6.55,51.65,8.55
Warrnambool,24,AU,1552905127,82,-38.38,142.48,66.0,10.45
Massakory,0,TD,1552905176,15,13.0,15.73,100.79,17.09
Vila Velha,20,BR,1552904890,88,-3.71,-38.6,80.6,3.36
Atasu,0,KZ,1552905237,82,48.68,71.64,32.3,14.97
Belaya Gora,8,RU,1552905237,42,68.54,146.19,-27.2,2.89
Lakes Entrance,92,AU,1552905190,97,-37.88,147.99,66.0,4.0
Puerto del Rosario,20,ES,1552903200,63,28.5,-13.86,68.0,17.22
Moron,88,VE,1552905238,94,10.49,-68.2,69.02,3.33
Palana,56,RU,1552905238,71,59.08,159.95,5.84,5.64
Huron,1,US,1552902900,85,44.36,-98.21,23.0,6.93
Ulladulla,75,AU,1552905027,100,-35.36,150.48,69.01,6.93
Nanortalik,80,GL,1552905224,98,60.14,-45.24,31.49,13.96
Bud,75,NO,1552905049,69,62.91,6.91,39.0,4.7
Peyima,0,SL,1552905240,41,8.69,-11.04,94.67,7.54
Okhotsk,48,RU,1552905240,89,59.36,143.24,7.91,4.12
Sistranda,75,NO,1552904977,59,63.73,8.83,37.99,19.46
San Quintin,88,PH,1552905241,85,17.54,120.52,74.87,1.61
Kidal,0,ML,1552905241,20,18.44,1.41,96.65,2.77
Hofn,90,IS,1552899600,80,64.25,-15.21,33.8,5.82
Husavik,76,CA,1552905041,96,50.56,-96.99,23.0,5.01
Pierre,1,US,1552905200,92,44.37,-100.35,19.99,6.93
Mount Isa,0,AU,1552903200,26,-20.73,139.49,78.8,7.54
Thompson,75,CA,1552903200,92,55.74,-97.86,19.4,3.36
Finschhafen,92,PG,1552905242,96,-6.6,147.85,71.18,2.73
Dingle,44,PH,1552905243,76,11.0,122.67,79.82,13.4
Namatanai,48,PG,1552905243,97,-3.66,152.44,83.24,9.15
Brasilia,40,BR,1552903200,74,-10.9,-37.55,82.4,5.82
Pitimbu,75,BR,1552899600,94,-7.47,-34.81,77.0,5.82
Oda,0,JP,1552903200,57,35.19,132.5,50.0,5.82
Kahului,8,US,1552905116,59,20.89,-156.47,66.0,5.99
Tuktoyaktuk,88,CA,1552905244,80,69.44,-133.03,26.0,12.46
Pangnirtung,20,CA,1552905244,60,66.15,-65.72,-21.26,3.11
Bosaso,0,SO,1552903200,74,11.28,49.18,82.4,13.87
Baykit,56,RU,1552905245,81,61.68,96.39,13.85,3.78
Tessalit,0,ML,1552905245,20,20.2,1.01,90.8,6.02
Necochea,0,AR,1552904811,90,-38.55,-58.74,64.0,1.99
Moose Factory,1,CA,1552903200,83,51.26,-80.61,-13.01,3.36
Point Pleasant,1,US,1552905095,73,40.08,-74.07,36.0,3.36
Komatipoort,0,MZ,1552905095,46,-25.43,31.96,93.99,5.82
Nyuksenitsa,80,RU,1552905246,95,60.41,44.24,35.72,14.18
Bonavista,0,CA,1552905023,73,48.65,-53.11,24.01,11.99
Qaanaaq,0,GL,1552905247,52,77.48,-69.36,-31.88,9.26
Fort Nelson,75,CA,1552903200,52,58.81,-122.69,41.0,5.82
Komsomolskiy,92,RU,1552905248,93,67.55,63.78,25.37,9.44
Hopfgarten,40,DE,1552905224,65,50.99,11.22,46.0,19.46
Trincomalee,64,LK,1552905248,60,8.58,81.23,85.76,11.45
Billings,20,US,1552905004,86,45.79,-108.5,26.6,5.82
Poya,32,NC,1552905249,92,-21.35,165.16,80.09,7.81
Valentin Gomez Farias,56,MX,1552905016,64,24.05,-104.7,48.99,5.01
Bom Sucesso,20,BR,1552905249,99,-21.03,-44.76,73.25,4.56
Verkhnyaya Inta,88,RU,1552905249,78,65.99,60.32,30.68,5.23
Sorong,20,ID,1552905250,97,-0.86,131.25,83.42,8.32
Norman Wells,75,CA,1552903200,42,65.28,-126.83,46.4,5.82
Vancouver,1,US,1552905018,69,45.63,-122.67,53.01,5.79
Phek,80,IN,1552905250,53,25.7,94.46,66.14,1.99
San Cristobal,75,EC,1552905001,93,-0.39,-78.55,57.2,2.24
Saint-Pierre,75,FR,1552905125,87,48.95,4.24,48.99,10.29
Bambous Virieux,75,MU,1552905244,70,-20.34,57.76,87.8,11.41
Kamenka,48,RU,1552905312,97,53.19,44.05,33.29,4.07
Guerrero Negro,0,MX,1552905313,100,27.97,-114.04,49.13,6.53
Port Elizabeth,90,US,1552905312,56,39.31,-74.98,36.0,6.93
Zharkovskiy,8,RU,1552905313,82,55.85,32.27,45.8,25.43
Terrace,90,CA,1552905063,93,54.52,-128.61,35.6,6.93
Cortland,90,US,1552905017,92,42.6,-76.18,25.0,2.33
Novyy Urgal,0,RU,1552905187,71,51.07,132.56,25.82,10.38
Starogard Gdanski,75,PL,1552905302,71,53.96,18.53,45.0,19.46
Palmer,0,AU,1552905312,41,-34.85,139.16,79.0,8.05
Selma,1,US,1552905301,93,36.57,-119.61,54.0,2.84
Oktyabrskiy,0,RU,1552901400,96,55.61,37.97,41.0,11.18
Acapulco,5,MX,1552902480,94,16.86,-99.88,77.0,4.7
Sinjar,80,SY,1552905316,69,35.59,37.0,63.35,11.83
Jacareacanga,88,BR,1552905316,90,-6.22,-57.76,78.74,2.84
Horki,0,BY,1552903200,54,54.29,30.98,53.6,17.9
Matagami,0,NG,1552905317,20,9.67,8.4,95.12,9.33
Huadian,32,CN,1552905317,48,42.97,126.75,45.17,7.09
Tame,100,CO,1552905317,98,6.46,-71.72,57.32,0.87
Manicore,12,BR,1552905317,87,-5.81,-61.3,79.91,2.89
Hervey Bay,75,AU,1552905308,78,-25.3,152.85,78.8,8.05
Arlit,0,NE,1552905318,57,18.74,7.39,87.47,12.8
Wanning,75,AT,1552905309,60,48.64,13.53,44.01,14.99
Paka,0,HR,1552903200,41,45.29,18.06,57.2,11.41
Broken Hill,0,AU,1552899600,22,-31.97,141.45,86.0,6.93
Terme,0,TR,1552902600,33,41.21,36.97,59.0,5.82
Abadan,40,IR,1552903200,28,30.36,48.26,71.6,18.34
Ostrovnoy,56,RU,1552905319,97,68.05,39.51,31.4,10.89
Beidao,0,CN,1552905320,61,34.57,105.89,49.22,7.76
Ambon,0,FR,1552905318,71,47.55,-2.56,54.0,9.17
Watrous,88,CA,1552905320,86,51.67,-105.46,26.9,11.9
Muisne,92,EC,1552905320,94,0.61,-80.02,72.62,4.07
Staryy Nadym,20,RU,1552905321,78,65.61,72.68,16.28,7.58
Tunoshna,90,RU,1552901400,69,57.55,40.13,39.2,11.18
Flin Flon,56,CA,1552905321,81,54.77,-101.88,28.16,6.31
Lorengau,0,PG,1552905321,94,-2.02,147.27,84.23,12.06
Yulara,0,AU,1552899600,11,-25.24,130.99,96.8,10.29
Rio Grande,90,BR,1552904100,100,-32.03,-52.1,69.8,8.25
Kultayevo,0,RU,1552901400,52,57.89,55.94,42.8,2.24
Tsogni,12,GA,1552905322,90,-2.79,10.1,86.12,10.16
Pekan,75,MY,1552899600,59,3.49,103.39,91.4,6.93
Soure,0,PT,1552905195,54,40.06,-8.63,60.01,10.29
Agadez,0,NE,1552905323,21,16.97,7.99,97.55,9.89
Shache,0,CN,1552905323,19,38.42,77.24,68.03,3.85
Jinxiang,44,CN,1552901976,16,35.07,116.31,75.99,10.04
Hamilton,90,BM,1552905130,87,32.3,-64.78,57.2,20.8
Millinocket,1,US,1552905304,66,45.66,-68.71,16.0,4.7
Liverpool,75,GB,1552905279,87,53.41,-2.98,48.0,5.82
Bubaque,0,GW,1552905325,87,11.28,-15.83,80.63,9.37
Clyde River,1,CA,1552903200,54,70.47,-68.59,-25.61,18.34
Iberia,68,PE,1552905325,93,-11.41,-69.49,75.23,2.89
Playa del Carmen,20,MX,1552905185,94,20.63,-87.08,75.0,5.35
Lixourion,40,GR,1552905064,72,38.2,20.43,64.0,6.93
Grimshaw,75,CA,1552903200,74,56.19,-117.61,33.8,4.7
Rio Gallegos,90,AR,1552903200,81,-51.62,-69.22,44.6,21.92
Zhanaozen,68,KZ,1552905386,65,43.35,52.85,52.82,19.44
Victoria,75,BN,1552901400,70,5.28,115.24,84.2,8.05
Ahuimanu,1,US,1552905209,82,21.44,-157.84,69.8,9.17
Otjimbingwe,32,NA,1552905387,24,-22.35,16.13,94.85,0.6
Agadir,75,MA,1552903200,87,30.42,-9.58,59.0,4.7
Ono,75,JP,1552903200,82,35.98,136.49,44.6,4.7
Lucani,0,RS,1552903200,34,43.86,20.14,68.0,8.05
Jining,44,CN,1552901976,16,35.41,116.58,75.99,9.55
Savannah Bight,0,HN,1552905388,96,16.45,-85.85,79.19,3.78
Bandarbeyla,0,SO,1552905388,100,9.49,50.81,78.47,9.1
Shimoda,75,JP,1552905312,71,34.7,138.93,54.0,6.93
Emba,75,CY,1552905082,77,34.81,32.42,66.2,5.82
Boa Vista,0,BR,1552903200,69,2.82,-60.67,77.0,11.41
Copperas Cove,1,US,1552905363,64,31.12,-97.9,50.0,2.84
Maragogi,56,BR,1552905391,79,-9.01,-35.22,85.67,5.3
Saint-Louis,75,CH,1552905387,84,47.59,7.56,51.01,13.87
Kovdor,88,RU,1552905392,84,67.56,30.47,31.31,7.81
Shingu,75,JP,1552903200,100,33.72,135.99,50.0,2.24
Mantua,75,IT,1552905363,76,45.16,10.79,54.0,5.82
Gudibanda,0,IN,1552905000,13,13.67,77.7,93.2,3.36
Lasa,75,CY,1552905082,77,34.92,32.53,66.2,5.82
Meulaboh,8,ID,1552905393,100,4.14,96.13,82.25,5.12
Invermere,0,CA,1552905356,85,50.51,-116.03,25.0,1.61
Avera,1,US,1552905334,100,33.19,-82.53,44.6,7.09
Mangrol,0,IN,1552905394,29,25.33,76.51,82.97,5.53
Minab,40,IR,1552905000,57,27.15,57.07,77.0,11.41
Atambua,20,ID,1552905394,100,-9.11,124.89,77.75,2.51
Danielskuil,8,ZA,1552905395,26,-28.19,23.54,88.37,13.47
Polunochnoye,88,RU,1552905395,86,60.87,60.43,35.9,3.51
Buraydah,0,SA,1552903200,43,26.33,43.97,69.8,5.82
Soyo,12,AO,1552905395,85,-6.13,12.37,88.19,4.12
Taoudenni,36,ML,1552905395,15,22.68,-3.98,87.65,7.25
Ordzhonikidze,0,UA,1552905396,87,44.96,35.36,49.22,6.24
Bucerias,75,MX,1552905314,100,20.76,-105.33,73.0,6.93
Te Anau,68,NZ,1552905396,88,-45.41,167.72,52.73,2.33
Mataram,20,ID,1552905397,78,-5.32,105.06,79.46,3.56
Talnakh,88,RU,1552905397,84,69.49,88.39,5.03,7.76
Vila Praia de Ancora,0,PT,1552905308,57,41.81,-8.85,60.01,9.17
Erenhot,0,CN,1552905397,24,43.65,111.97,51.83,16.2
Steamboat Springs,1,US,1552904892,73,40.48,-106.83,23.0,3.36
Victoria,75,BN,1552901400,70,5.28,115.24,84.2,8.05
Dali,0,CN,1552905399,52,25.6,100.24,61.1,5.57
Port Hardy,20,CA,1552903200,93,50.7,-127.42,35.6,4.7
Galle,1,US,1552905399,86,29.74,-97.91,48.2,6.93
Coquimbo,90,CL,1552903200,93,-29.95,-71.34,55.4,4.7
Ayia Galini,1,GR,1552905268,89,35.1,24.68,66.0,6.93
Lakhdenpokhya,68,RU,1552905140,84,61.52,30.2,37.99,8.01
Huaraz,48,PE,1552905330,93,-9.53,-77.53,39.32,1.99
Axim,0,GH,1552905400,94,4.87,-2.24,84.41,10.67
Mariental,75,DE,1552905324,70,52.28,10.99,48.0,19.46
Hammerfest,20,NO,1552904400,67,70.66,23.68,28.4,23.04
Paramonga,100,PE,1552905401,99,-10.68,-77.82,70.82,7.54
Airai,8,TL,1552905461,80,-8.93,125.41,71.9,1.54
Marzuq,0,YE,1552905462,18,14.4,46.47,87.83,3.74
Ilesha,0,NG,1552905462,57,7.14,5.26,94.67,5.41
Camocim,56,BR,1552905462,92,-2.9,-40.84,82.7,5.12
Jasper,0,US,1552905402,100,33.83,-87.28,44.6,4.9
Manjacaze,0,MZ,1552905463,45,-24.71,33.88,93.59,4.41
Danjiangkou,0,CN,1552905290,70,32.54,111.51,48.0,3.0
Constitucion,56,MX,1552905016,64,23.99,-104.67,48.99,5.01
Mwense,44,ZM,1552905464,91,-10.39,28.7,75.23,2.89
Vestmanna,64,FO,1552904400,93,62.16,-7.17,41.0,13.87
Asamankese,24,GH,1552905416,53,5.86,-0.66,93.5,5.53
