Title,Year,Genre,Country,imdbRating,imdbVotes,imdbID,Year2,imdbRating2
Kung Fu,1972–1975,"Adventure, Drama, Western",USA,7.8,"4,593",tt0068093,1972,78.0
Love Thy Neighbour,1972–1976,Comedy,UK,7.0,420,tt0068096,1972,70.0
M*A*S*H,1972–1983,"Comedy, Drama, War",USA,8.3,"46,202",tt0068098,1972,83.0
Maude,1972–1978,Comedy,USA,7.2,"2,823",tt0068103,1972,72.0
The New Scooby-Doo Movies,1972–1973,"Animation, Comedy, Family, Mystery",USA,7.7,"3,403",tt0068112,1972,77.0
The Paul Lynde Show,1972–1973,Comedy,USA,7.1,52,tt0068118,1972,71.0
The Price Is Right,1972–,"Family, Game-Show",USA,7.7,"2,804",tt0068120,1972,77.0
The Protectors,1972–1973,"Adventure, Crime",UK,7.1,215,tt0068122,1972,71.0
The Rookies,1972–1976,"Crime, Drama",USA,6.9,704,tt0068126,1972,69.0
Sanford and Son,1972–1977,Comedy,USA,7.9,"6,672",tt0068128,1972,79.0
Sealab 2020,1972,"Animation, Family, Sci-Fi",USA,6.5,122,tt0068129,,65.0
Search,1972–1973,Adventure,USA,8.2,206,tt0068131,1972,82.0
The Sixth Sense,1972,"Drama, Mystery, Thriller",USA,6.4,295,tt0068132,,64.0
The Streets of San Francisco,1972–1977,"Action, Crime, Drama, Mystery",USA,7.3,"4,343",tt0068135,1972,73.0
The Swiss Family Robinson,1976–,"Adventure, Family",Canada,7.4,83,tt0068137,1976,74.0
Ultraman,1972–,Sci-Fi,Japan,7.6,340,tt0068145,1972,76.0
Wait Till Your Father Gets Home,1972–1974,"Animation, Comedy",USA,7.9,419,tt0068148,1972,79.0
The Waltons,1971–1981,"Drama, Family, Romance",USA,7.6,"4,779",tt0068149,1971,76.0
Gatchaman,1972–1974,"Action, Animation, Sci-Fi",Japan,8.0,339,tt0068792,1972,80.0
The Addams Family,1973,"Animation, Comedy",USA,6.9,648,tt0069554,,69.0
Barnaby Jones,1973–1980,"Crime, Drama, Mystery",USA,6.9,"1,736",tt0069557,1973,69.0
Doraemon,1979–2005,"Animation, Comedy, Family, Sci-Fi, Sport",Japan,7.8,"2,122",tt0069576,1979,78.0
Dusty's Trail,1973–,"Comedy, Western",USA,5.7,142,tt0069577,1973,57.0
Father Brown,1974–,"Crime, Drama, Mystery",UK,7.1,238,tt0069582,1974,71.0
Fem myror är fler än fyra elefanter,1973–,"Comedy, Family",Sweden,8.1,619,tt0069583,1973,81.0
The Girl with Something Extra,1973–1974,Comedy,USA,7.3,96,tt0069585,1973,73.0
"Inch High, Private Eye",1973–,"Animation, Mystery, Comedy",USA,6.8,153,tt0069595,1973,68.0
Klimbim,1973–1979,"Comedy, Music",West Germany,7.5,117,tt0069598,1973,75.0
Kojak,1973–1978,"Action, Crime, Drama, Mystery, Thriller",USA,7.1,"5,580",tt0069599,1973,71.0
Last of the Summer Wine,1973–,Comedy,UK,7.0,"2,082",tt0069602,1973,70.0
Lotsa Luck,1973–1974,Comedy,USA,7.6,60,tt0069603,1973,76.0
The Magician,1973–1974,"Adventure, Drama",USA,7.6,294,tt0069606,1973,76.0
Man About the House,1973–1976,Comedy,UK,7.3,905,tt0069607,1973,73.0
Match Game,1973–1982,"Comedy, Game-Show",USA,8.3,"1,464",tt0069608,1973,83.0
Moonbase 3,1973–,"Drama, Sci-Fi",UK,7.1,99,tt0069611,1973,71.0
Police Story,1973–1987,"Action, Crime, Drama, Thriller",USA,7.5,671,tt0069620,1973,75.0
Schoolhouse Rock!,1973–2009,"Animation, Short, Family, Musical",USA,8.2,"2,531",tt0069627,1973,82.0
Sesamstraße,1973–,Family,West Germany,6.8,100,tt0069629,1973,68.0
Shaft,1973–1974,"Action, Crime, Drama",USA,6.7,160,tt0069630,1973,67.0
Sigmund and the Sea Monsters,1973–1975,"Comedy, Family",USA,7.1,501,tt0069632,1973,71.0
The Snoop Sisters,1972–1974,"Comedy, Crime, Drama",USA,7.7,187,tt0069633,1972,77.0
Some Mothers Do 'Ave 'Em,1973–1978,Comedy,UK,7.6,"2,363",tt0069634,1973,76.0
Speed Buggy,1973–1983,"Animation, Family",USA,6.9,226,tt0069636,1973,69.0
Star Trek: The Animated Series,1973–1975,"Animation, Action, Adventure, Family, Sci-Fi",USA,7.5,"5,057",tt0069637,1973,75.0
The Starlost,1973–,Sci-Fi,Canada,6.5,360,tt0069638,1973,65.0
Super Friends,1973–2011,"Animation, Action, Adventure, Sci-Fi",USA,7.3,"1,636",tt0069641,1973,73.0
Toma,1973–1974,"Crime, Drama",USA,7.8,119,tt0069646,1973,78.0
The Tomorrow People,1973–1979,"Drama, Fantasy, Sci-Fi",UK,7.4,518,tt0069647,1973,74.0
The Wizard of Oz,1974,"Animation, Adventure, Fantasy",Soviet Union,7.3,106,tt0069653,,73.0
War & Peace,1972–1974,"Drama, War",UK,8.3,505,tt0069654,1972,83.0
Whatever Happened to the Likely Lads?,1973–1974,Comedy,UK,7.6,982,tt0069655,1973,76.0
The Young and the Restless,1973–,"Drama, Romance",USA,5.3,"5,147",tt0069658,1973,53.0
Chlopi,1972,Drama,Poland,7.3,83,tt0069875,,73.0
Apple's Way,1974–1975,"Drama, Family",USA,7.0,124,tt0070967,1974,70.0
Heidi: A Girl of the Alps,1974–,"Animation, Adventure, Drama","Japan, West Germany",7.5,"3,076",tt0070968,1974,75.0
Bagpuss,1974–,"Animation, Comedy, Family",UK,8.0,600,tt0070970,1974,80.0
Chico and the Man,1974–1978,Comedy,USA,6.9,649,tt0070975,1974,69.0
Derrick,1974–1998,"Crime, Drama",West Germany,6.6,"1,053",tt0070981,1974,66.0
Dinah!,1974–,"Comedy, Music, Talk-Show",USA,7.8,129,tt0070982,1974,78.0
Get Christie Love!,1974–1975,"Drama, Crime",USA,6.3,166,tt0070990,1974,63.0
Good Times,1974–1979,Comedy,USA,7.3,"4,999",tt0070991,1974,73.0
Happy Days,1974–1984,"Comedy, Family, Music",USA,7.5,"14,041",tt0070992,1974,75.0
Harry O,1973–1976,"Action, Crime, Drama",USA,7.5,398,tt0070993,1973,75.0
Hong Kong Phooey,1974–1975,"Animation, Family, Comedy",USA,7.0,"2,534",tt0070996,1974,70.0
Kolchak: The Night Stalker,1974–1975,"Horror, Mystery, Thriller",USA,8.5,"3,564",tt0071003,1974,85.0
Land of the Lost,1974–1977,"Adventure, Family, Fantasy, Sci-Fi",USA,7.2,"2,170",tt0071005,1974,72.0
Little House on the Prairie,1974–1983,"Drama, Family, Romance, Western",USA,7.4,"14,299",tt0071007,1974,74.0
Movin' On,1974–1976,Drama,USA,7.6,299,tt0071012,1974,76.0
Münchner Geschichten,1974–,Comedy,West Germany,8.6,94,tt0071016,1974,86.0
Otpisani,1974–,"Action, Drama, War",Yugoslavia,8.5,"1,044",tt0071028,1974,85.0
Paper Moon,1974–1975,Comedy,USA,7.3,98,tt0071029,1974,73.0
Petrocelli,1974–1976,"Drama, Crime",USA,7.4,526,tt0071032,1974,74.0
Planet of the Apes,1974,"Adventure, Sci-Fi, Thriller",USA,7.2,"3,550",tt0071033,,72.0
Police Woman,1974–1978,"Action, Crime, Drama",USA,6.6,"1,386",tt0071034,1974,66.0
Porridge,1974–1977,"Comedy, Crime",UK,8.2,"4,628",tt0071036,1974,82.0
Q & Q,1974–1976,,Netherlands,7.9,125,tt0071038,1974,79.0
Rhoda,1974–1978,Comedy,USA,6.8,"1,751",tt0071040,1974,68.0
Rising Damp,1974–1978,Comedy,UK,7.7,"1,902",tt0071041,1974,77.0
The Rockford Files,1974–1980,"Crime, Drama, Mystery, Thriller",USA,8.1,"5,774",tt0071042,1974,81.0
Roobarb,1974–,"Animation, Comedy, Family",UK,7.2,143,tt0071043,1974,72.0
"Run, Joe, Run",1974–1975,"Action, Adventure, Drama, Family",USA,7.7,103,tt0071045,1974,77.0
Shazam!,1974–1977,"Action, Family, Fantasy, Sci-Fi",USA,7.0,985,tt0071050,1974,70.0
The Six Million Dollar Man,1974–1978,"Action, Adventure, Crime, Drama, Mystery, Sci-Fi",USA,7.1,"7,559",tt0071054,1974,71.0
The Sweeney,1974–1978,"Action, Comedy, Crime, Drama",UK,8.1,"1,424",tt0071059,1974,81.0
Sykes,1972–1979,Comedy,UK,7.4,168,tt0071060,1972,74.0
Tiswas,1974–1982,Family,UK,8.2,97,tt0071061,1974,82.0
Tattletales,1974–1977,Comedy,USA,7.1,117,tt0071063,1974,71.0
That's My Mama,1974–1975,Comedy,USA,7.0,305,tt0071065,1974,70.0
Tony Orlando and Dawn,1974–1976,Music,USA,6.5,108,tt0071067,1974,65.0
Valley of the Dinosaurs,1974–,"Adventure, Animation",USA,7.1,119,tt0071070,1974,71.0
The World at War,1973–1976,"Documentary, History, War",UK,9.2,"17,632",tt0071075,1973,92.0
Barbary Coast,1975–1976,Western,USA,7.3,87,tt0072470,1975,73.0
Baretta,1975–1978,"Crime, Drama",USA,6.8,"1,765",tt0072471,1975,68.0
Barney Miller,1975–1982,"Comedy, Drama",USA,8.2,"4,053",tt0072472,1975,82.0
The Blue Knight,1975–1976,"Action, Drama, Crime",USA,6.9,107,tt0072478,1975,69.0
Cher,1975–1976,"Comedy, Music",USA,7.5,162,tt0072485,1975,75.0
The Dick Cavett Show,1975–1981,Talk-Show,USA,7.5,46,tt0072490,1975,75.0
Ellery Queen,1975–1976,"Crime, Drama, Family, Mystery",USA,8.4,997,tt0072496,1975,84.0
Far Out Space Nuts,1975–1976,"Comedy, Family, Sci-Fi",USA,6.6,148,tt0072499,1975,66.0
Fawlty Towers,1975–1979,Comedy,UK,8.8,"74,592",tt0072500,1975,88.0
Get Some In!,1975–1978,Comedy,UK,7.2,119,tt0072504,1975,72.0
The Ghost Busters,1975,"Comedy, Family, Fantasy, Sci-Fi",USA,7.5,299,tt0072505,,75.0
Good Morning America,1975–,"News, Talk-Show",USA,5.0,"1,084",tt0072506,1975,50.0
Gruntovcani,1975–,Comedy,Yugoslavia,9.0,456,tt0072509,1975,90.0
Hot L Baltimore,1975–,Comedy,USA,7.8,163,tt0072512,1975,78.0
The Invisible Man,1975–1976,"Adventure, Sci-Fi",USA,6.8,552,tt0072515,1975,68.0
Isis,1975–1976,"Adventure, Family, Fantasy",USA,7.0,759,tt0072516,1975,70.0
Ivor the Engine,1975–1977,"Animation, Family",UK,7.5,221,tt0072518,1975,75.0
The Jeffersons,1975–1985,Comedy,USA,7.5,"6,415",tt0072519,1975,75.0
King of Kensington,1975–1980,Comedy,Canada,7.6,122,tt0072529,1975,76.0
The Lost Saucer,1975–1976,"Family, Sci-Fi",USA,7.0,104,tt0072536,1975,70.0
Match Game PM,1975–1981,"Comedy, Family, Game-Show",USA,8.0,278,tt0072541,1975,80.0
One Day at a Time,1975–1984,Comedy,USA,6.6,"3,081",tt0072554,1975,66.0
Phyllis,1975–1977,Comedy,USA,6.5,272,tt0072556,1975,65.0
Ryan's Hope,1975–1989,Drama,USA,7.2,243,tt0072559,1975,72.0
S.W.A.T.,1975–1976,"Action, Crime, Drama",USA,6.6,"1,316",tt0072560,1975,66.0
Saturday Night Live,1975–,"Comedy, Music",USA,8.1,"38,674",tt0072562,1975,81.0
Space: 1999,1975–1977,"Adventure, Drama, Sci-Fi","UK, Italy",7.4,"6,048",tt0072564,1975,74.0
Starsky and Hutch,1975–1979,"Action, Crime, Drama, Mystery",USA,7.0,"6,248",tt0072567,1975,70.0
Survivors,1975–1977,"Drama, Sci-Fi",UK,8.1,910,tt0072572,1975,81.0
Swiss Family Robinson,1975–1976,Adventure,USA,6.6,103,tt0072573,1975,66.0
Switch,1975–1978,"Crime, Action, Drama",USA,7.3,296,tt0072574,1975,73.0
Two's Company,1975–1979,Comedy,UK,8.0,116,tt0072577,1975,80.0
"Welcome Back, Kotter",1975–1979,Comedy,USA,7.0,"4,646",tt0072582,1975,70.0
Wheel of Fortune,1983–,"Family, Game-Show",USA,6.8,"2,011",tt0072584,1983,68.0
When Things Were Rotten,1975,"Adventure, Comedy",USA,7.6,282,tt0072585,,76.0
The Secret Garden,1975–,"Drama, Family",UK,7.2,214,tt0073675,1975,72.0
Albert & Herbert,1974–,Comedy,Sweden,7.9,219,tt0073954,1974,79.0
Alice,1976–1985,Comedy,USA,6.9,"3,252",tt0073955,1976,69.0
Black Sheep Squadron,1976–1978,"Action, Adventure, Drama, War",USA,7.7,"1,944",tt0073961,1976,77.0
The Bionic Woman,1976–1978,"Action, Adventure, Drama, Sci-Fi",USA,6.7,"5,029",tt0073965,1976,67.0
Bouquet of Barbed Wire,1976–,Drama,UK,7.3,103,tt0073967,1976,73.0
CPO Sharkey,1976–1978,Comedy,USA,7.1,199,tt0073969,1976,71.0
The Captain and Tennille,1976–1977,Music,USA,5.8,105,tt0073970,1976,58.0
Charlie's Angels,1976–1981,"Action, Adventure, Crime, Drama, Mystery",USA,6.5,"8,666",tt0073972,1976,65.0
Delvecchio,1976–1977,"Drama, Crime",USA,6.9,95,tt0073979,1976,69.0
Donny and Marie,1975–1979,Music,USA,6.2,252,tt0073985,1975,62.0
Extra Drei,1976–,"Comedy, News",West Germany,8.2,75,tt0073989,1976,82.0
The Fall and Rise of Reginald Perrin,1976–1979,Comedy,UK,8.0,"1,331",tt0073990,1976,80.0
Family Feud,1976–1985,Game-Show,USA,7.2,"1,417",tt0073991,1976,72.0
Family,1976–1980,"Drama, Family",USA,7.7,"1,015",tt0073992,1976,77.0
George & Mildred,1976–1979,Comedy,UK,7.1,943,tt0073995,1976,71.0
3000 Leagues in Search of Mother,1976–,"Animation, Adventure, Drama",Japan,7.1,696,tt0074002,1976,71.0
Ein Herz und eine Seele,1973–1976,Comedy,West Germany,8.8,493,tt0074004,1973,88.0
Holmes and Yo-Yo,1976–1977,"Comedy, Crime",USA,6.4,92,tt0074005,1976,64.0
In Search of...,1976–1982,"Documentary, Sci-Fi",USA,8.6,696,tt0074007,1976,86.0
The Krofft Supershow,1976–1978,"Family, Fantasy, Sci-Fi",USA,7.5,107,tt0074014,1976,75.0
Laverne & Shirley,1976–1983,"Comedy, Family",USA,7.0,"5,313",tt0074016,1976,70.0
"Mary Hartman, Mary Hartman",1976–1977,"Comedy, Romance",USA,7.8,918,tt0074021,1976,78.0
The Muppet Show,1976–1981,"Comedy, Family, Music","USA, UK",8.4,"20,465",tt0074028,1976,84.0
The New Avengers,1976–1977,"Action, Mystery, Thriller","France, UK, Canada",7.2,"1,705",tt0074031,1976,72.0
The Onedin Line,1971–1980,"Adventure, Drama, Romance",UK,7.7,625,tt0074035,1971,77.0
Open All Hours,1973–1985,Comedy,UK,7.7,"3,955",tt0074036,1973,77.0
Povratak otpisanih,1976–,War,Yugoslavia,8.6,825,tt0074039,1976,86.0
The Quest,1976,Western,USA,7.4,137,tt0074041,,74.0
Quincy M.E.,1976–1983,"Crime, Drama, Mystery",USA,7.3,"4,288",tt0074042,1976,73.0
Rentaghost,1976–1984,"Comedy, Family, Fantasy",UK,6.9,387,tt0074045,1976,69.0
"Rich Man, Poor Man - Book II",1976–1977,Drama,USA,7.7,484,tt0074047,1976,77.0
The Scooby-Doo/Dynomutt Hour,1976–1978,"Animation, Comedy, Family, Mystery",USA,7.7,"2,618",tt0074053,1976,77.0
Serpico,1976–1977,"Drama, Crime",USA,6.9,116,tt0074054,1976,69.0
The Sonny and Cher Show,1976–1977,"Comedy, Music",USA,7.1,325,tt0074058,1976,71.0
Star Maidens,1976–,Sci-Fi,"UK, West Germany",6.5,142,tt0074061,1976,65.0
The Sylvester & Tweety Show,1976–,"Animation, Family, Comedy",USA,7.4,548,tt0074062,1976,74.0
What's Happening!!,1976–1979,Comedy,USA,7.0,"2,550",tt0074071,1976,70.0
When the Boat Comes In,1976–1981,Drama,UK,8.6,260,tt0074072,1976,86.0
Wonder Woman,1975–1979,"Action, Adventure, Drama, Family, Fantasy, Sci-Fi",USA,7.1,"5,779",tt0074074,1975,71.0
My Uncle Napoleon,1976–,"Comedy, Drama",Iran,8.4,744,tt0074369,1976,84.0
Eleanor and Franklin,1976–,"Biography, Drama, Romance",USA,8.1,277,tt0074464,1976,81.0
The Sullivans,1976–1983,Drama,Australia,6.5,315,tt0075281,1976,65.0
ABC Weekend Specials,1977–1995,"Animation, Adventure, Comedy",USA,8.1,188,tt0075471,1977,81.0
All Creatures Great and Small,1978–1990,"Comedy, Drama",UK,8.3,"1,964",tt0075472,1978,83.0
The All-New Super Friends Hour,1977–1978,"Animation, Action, Adventure",USA,7.2,"1,224",tt0075473,1977,72.0
The Old Fox,1977–,"Crime, Drama",West Germany,6.1,356,tt0075474,1977,61.0
The Brady Bunch Variety Hour,1976–,"Comedy, Music",USA,3.9,287,tt0075485,1976,39.0
CHiPs,1977–1983,"Crime, Drama, Mystery",USA,6.4,"6,581",tt0075488,1977,64.0
Carter Country,1977–1979,Comedy,USA,6.7,124,tt0075489,1977,67.0
Citizen Smith,1977–1980,Comedy,UK,7.2,503,tt0075492,1977,72.0
Eight Is Enough,1977–1981,"Comedy, Drama, Family",USA,6.5,"2,149",tt0075500,1977,65.0
En by i provinsen,1977–,Crime,Denmark,7.0,79,tt0075501,1977,70.0
The Fantastic Journey,1977–,"Adventure, Sci-Fi",USA,7.6,310,tt0075503,1977,76.0
Fernwood Tonight,1977–,"Comedy, Talk-Show",USA,8.6,455,tt0075505,1977,86.0
Fish,1977–1978,Comedy,USA,6.2,225,tt0075506,1977,62.0
Good Neighbors,1975–1978,Comedy,UK,8.1,"2,113",tt0075511,1975,81.0
Grange Hill,1978–2008,"Comedy, Drama, Family",UK,7.1,819,tt0075512,1978,71.0
The Hardy Boys/Nancy Drew Mysteries,1977–1979,"Family, Mystery",USA,7.6,"1,079",tt0075513,1977,76.0
James at 16,1977–1978,Drama,USA,8.3,218,tt0075519,1977,83.0
The Life and Times of Grizzly Adams,1977–1978,"Adventure, Family, Western",USA,7.7,"1,083",tt0075525,1977,77.0
Logan's Run,1977–1978,"Adventure, Sci-Fi",USA,7.2,"1,664",tt0075527,1977,72.0
Lou Grant,1977–1982,Drama,USA,7.3,"1,429",tt0075528,1977,73.0
The Love Boat,1977–1987,"Comedy, Drama, Romance",USA,6.1,"7,390",tt0075529,1977,61.0
Lucan,1977–1978,,USA,7.6,109,tt0075532,1977,76.0
Man from Atlantis,1977–1978,"Adventure, Sci-Fi",USA,6.6,"1,812",tt0075533,1977,66.0
Mind Your Language,1977–1986,Comedy,UK,8.8,"5,441",tt0075537,1977,88.0
The New Adventures of Batman,1977–1978,"Animation, Action, Adventure, Crime, Sci-Fi",USA,7.2,863,tt0075543,1977,72.0
Operation Petticoat,1977–1979,Comedy,USA,7.0,129,tt0075551,1977,70.0
Poldark,1975–,"Drama, History, Romance",UK,8.5,854,tt0075560,1975,85.0
The Professionals,1977–1983,"Action, Comedy, Crime",UK,8.1,"2,074",tt0075561,1977,81.0
Raffles,1975–,"Comedy, Crime, History",UK,7.8,103,tt0075563,1975,78.0
The Richard Pryor Show,1977–,Comedy,USA,7.6,319,tt0075567,1977,76.0
Ripping Yarns,1976–1979,"Adventure, Comedy",UK,8.0,"1,146",tt0075568,1976,80.0
Robin's Nest,1977–1981,Comedy,UK,6.4,435,tt0075569,1977,64.0
SCTV,1976–1981,Comedy,"Canada, USA",8.5,"1,809",tt0075578,1976,85.0
Secret Army,1977–1979,"Drama, History, War",UK,8.7,920,tt0075579,1977,87.0
Sha Na Na,1977–,"Comedy, Music",USA,6.9,223,tt0075581,1977,69.0
Sneak Previews,1975–1996,Talk-Show,USA,8.4,107,tt0075583,1975,84.0
Soap,1977–1981,"Comedy, Romance",USA,8.2,"5,222",tt0075584,1977,82.0
Space Academy,1977–1979,"Adventure, Family, Sci-Fi",USA,7.1,209,tt0075585,1977,71.0
Tabitha,1976–1978,"Comedy, Fantasy",USA,6.1,203,tt0075590,1976,61.0
Tales of the Unexpected,1979–1988,"Comedy, Drama, Horror, Mystery, Thriller",UK,7.8,"1,188",tt0075592,1979,78.0
Three's Company,1976–1984,Comedy,USA,7.5,"10,457",tt0075596,1976,75.0
All That Glitters,1977–,"Comedy, Fantasy",USA,8.3,94,tt0075658,1977,83.0
Razboiul independentei,1977–,,Romania,7.1,105,tt0076602,1977,71.0
The Amazing Spider-Man,1977–1979,"Action, Adventure, Crime, Fantasy, Sci-Fi",USA,6.4,"1,652",tt0076975,1977,64.0
America 2-Night,1978–,Comedy,USA,8.6,210,tt0076976,1978,86.0
Auf Achse,1980–1996,"Adventure, Crime","West Germany, Germany",7.1,189,tt0076980,1980,71.0
Battle of the Planets,1978–1985,"Animation, Action, Adventure, Sci-Fi","Japan, USA",7.6,"1,443",tt0076983,1978,76.0
